Rank,Network,Network Type,Network Category,Program,Program/Genre Type,# of Episodes,Unique Authors,Unique Authors Share,Unique Authors/Episodes,Followers/Unique Authors,Tweets,Tweets Share,Tweets/Episodes,Tweets/Unique Authors,
211,TOON,Cable,-,Regular Show,"Children & Family, Comedy Series",1,723,0.09%,723,623,778,0.05%,778,1.08,
212,HBOF,Cable,Premium,Miracle on 34th Street,Movies,1,723,0.09%,723,692,764,0.04%,764,1.06,
213,FUSE,Cable,-,House Party 2,Movies,1,721,0.08%,721,843,792,0.05%,792,1.10,
214,MYNETTV,Broadcast,-,Modern Family,Comedy Series,1,714,0.08%,714,708,757,0.04%,757,1.06,
215,UNI,Broadcast,Hispanic,¡Despierta América!,Talk & News,1,713,0.08%,713,632,"1,068",0.06%,"1,068",1.50,
216,ADSM,Cable,-,Regular Show,"Children & Family, Comedy Series",2,708,0.08%,354,621,761,0.04%,381,1.07,
217,COMEDY,Cable,-,Futurama,"Comedy Series, Sci-Fi Series",6,703,0.08%,117,594,799,0.05%,133,1.14,
218,E,Cable,-,Chelsea Lately,"Comedy Series, Talk & News",3,693,0.08%,231,528,788,0.05%,263,1.14,
219,NBC,Broadcast,-,The Tonight Show With Jay Leno,"Comedy Series, Talk & News",2,686,0.08%,343,"1,144",923,0.05%,462,1.35,
220,FOX,Broadcast,-,The Wendy Williams Show,Talk & News,1,681,0.08%,681,938,806,0.05%,806,1.18,
221,ESPND,Cable,Hispanic Sports,Fútbol Picante,Sports non-event,2,680,0.08%,340,222,826,0.05%,413,1.21,
222,TOON,Cable,-,Stuart Little,Movies,1,674,0.08%,674,575,707,0.04%,707,1.05,
223,DXD,Cable,-,The Suite Life of Zack & Cody,"Children & Family, Comedy Series",7,670,0.08%,96,592,690,0.04%,99,1.03,
224,NBCSN,Cable,Sports,College Basketball,Sports Events,1,663,0.08%,663,889,972,0.06%,972,1.47,
225,CNN,Cable,News,New Day,Talk & News,1,655,0.08%,655,958,954,0.06%,954,1.46,
226,TVGN,Cable,-,The Young and the Restless,Drama Series,1,654,0.08%,654,556,"1,327",0.08%,"1,327",2.03,
227,GAC,Cable,-,Farm Kings,Reality Series,14,647,0.08%,46,580,"1,122",0.06%,80,1.73,
228,MSNBC,Cable,News,The Last Word With Lawrence O'Donnell,Talk & News,1,630,0.07%,630,988,"1,170",0.07%,"1,170",1.86,
229,WGNAMER,Cable,-,Parks and Recreation,Comedy Series,2,629,0.07%,315,444,687,0.04%,344,1.09,
230,CBS,Broadcast,-,The Price Is Right,Series,1,627,0.07%,627,565,684,0.04%,684,1.09,
231,E,Cable,-,Keeping Up With the Kardashians,"Docs & Special Interests, Reality Series",3,621,0.07%,207,641,703,0.04%,234,1.13,
232,FSCR1,Cable,Sports,College Basketball,Sports Events,1,607,0.07%,607,"1,624","1,005",0.06%,"1,005",1.66,
233,FSTN,Cable,Sports,College Basketball,Sports Events,1,607,0.07%,607,"1,624","1,005",0.06%,"1,005",1.66,
234,FSAZ,Cable,Sports,College Basketball,Sports Events,1,607,0.07%,607,"1,624","1,005",0.06%,"1,005",1.66,
235,FCSA,Cable,Sports,College Basketball,Sports Events,1,607,0.07%,607,"1,624","1,005",0.06%,"1,005",1.66,
236,ABCF,Cable,-,Rudolph the Red-Nosed Reindeer & the Island of Misfit Toys,"Children & Family, Special Programs",1,602,0.07%,602,517,623,0.04%,623,1.03,
237,SYFY,Cable,-,Batman Begins,Movies,1,599,0.07%,599,412,662,0.04%,662,1.11,
238,UNI,Broadcast,Hispanic,Lo Que la Vida Me Robó,Drama Series,1,598,0.07%,598,658,"1,158",0.07%,"1,158",1.94,
239,ESPN2,Cable,Sports,Numbers Never Lie,Talk & News,1,595,0.07%,595,701,669,0.04%,669,1.12,
240,NBC,Broadcast,-,Steve Harvey,Talk & News,1,584,0.07%,584,719,666,0.04%,666,1.14,
241,MTV,Cable,-,Scrubbing In,Reality Series,1,580,0.07%,580,507,"1,216",0.07%,"1,216",2.10,
242,ESPNCL,Cable,Sports,Friday Night Lights,Drama Series,2,578,0.07%,289,431,621,0.04%,311,1.07,
243,TNT,Cable,-,Castle,"Docs & Special Interests, Comedy Series, Drama Series",4,575,0.07%,144,"2,511","1,368",0.08%,342,2.38,
244,ABC,Broadcast,-,ABC World News With Diane Sawyer,Talk & News,1,570,0.07%,570,992,723,0.04%,723,1.27,
245,AMC,Cable,-,White Christmas,Movies,1,570,0.07%,570,419,597,0.03%,597,1.05,
246,TLC,Cable,-,My Big Fat Gypsy Wedding,Docs & Special Interests,5,568,0.07%,114,472,602,0.03%,120,1.06,
247,NFLNET,Cable,Sports,A Football Life,Series,2,566,0.07%,283,471,614,0.04%,307,1.08,
248,BOOM,Cable,-,Johnny Bravo,"Children & Family, Comedy Series",2,565,0.07%,283,650,587,0.03%,294,1.04,
249,UNIMAS,Broadcast,Hispanic,Pequeños Gigantes,Reality Series,1,561,0.07%,561,615,"1,235",0.07%,"1,235",2.20,
250,NBC,Broadcast,-,NBC Nightly News,Talk & News,1,552,0.06%,552,"1,218",631,0.04%,631,1.14,
