Rank,Network,Network Type,Network Category,Program,Program/Genre Type,Episode Title,New/Live,Premiere/Finale,Date,Day Part,Unique Authors,Unique Authors Share,Followers/Unique Authors,Tweets,Tweets Share,Tweets/Unique Authors
177,NIK,Cable,-,Friends,Comedy Series,The One With Rachel's Going Away Party,-,-,12/19/13,Late Fringe,"1,888",0.22%,396,"1,995",0.12%,1.06
178,TRUTV,Cable,-,Impractical Jokers,Comedy Series Reality Series,Bellydancer,-,-,12/19/13,Primetime,"1,876",0.22%,465,"2,150",0.12%,1.15
179,FSSD,Cable,Sports,College Basketball,Sports Events,Clemson at Auburn,New/Live,-,12/19/13,Early Fringe,"1,871",0.22%,963,"2,561",0.15%,1.37
180,SUN,Cable,Sports,College Basketball,Sports Events,Clemson at Auburn,New/Live,-,12/19/13,Primetime,"1,871",0.22%,963,"2,561",0.15%,1.37
181,SPSOUTH,Cable,Sports,College Basketball,Sports Events,Clemson at Auburn,New/Live,-,12/19/13,Primetime,"1,871",0.22%,963,"2,561",0.15%,1.37
182,COMEDY,Cable,-,The Colbert Report,Talk & News Comedy Series,Keanu Reeves,-,-,12/19/13,Morning,"1,871",0.22%,927,"2,186",0.13%,1.17
183,PRIME,Cable,Sports,College Basketball,Sports Events,Clemson at Auburn,New/Live,-,12/19/13,Early Fringe,"1,871",0.22%,963,"2,561",0.15%,1.37
184,TRUTV,Cable,-,Impractical Jokers,Comedy Series Reality Series,Everything's Just Rosie,-,-,12/19/13,Primetime,"1,870",0.22%,465,"2,143",0.12%,1.15
185,ION,Broadcast,-,Criminal Minds,Drama Series,Unknown Subject,-,-,12/19/13,Primetime,"1,865",0.22%,529,"2,181",0.13%,1.17
186,ESQTV,Cable,-,Late Night With Jimmy Fallon,Talk & News Comedy Series,,-,-,12/19/13,Early Fringe,"1,855",0.22%,571,"2,086",0.12%,1.12
187,AETV,Cable,-,Rodeo Girls,Reality Series,Bikinis or Bust,New,-,12/19/13,Primetime,"1,849",0.22%,433,"2,750",0.16%,1.49
188,AETV,Cable,-,Criminal Minds,Drama Series,Devil's Night,-,-,12/19/13,Daytime,"1,804",0.21%,573,"2,048",0.12%,1.14
189,MYNETTV,Broadcast,-,The Big Bang Theory,Comedy Series,The Peanut Reaction,-,-,12/19/13,Early Fringe,"1,803",0.21%,564,"2,249",0.13%,1.25
190,ION,Broadcast,-,Criminal Minds,Drama Series,Snake Eyes,-,-,12/19/13,Primetime,"1,778",0.21%,532,"2,076",0.12%,1.17
191,NBC,Broadcast,-,Late Night With Jimmy Fallon,Talk & News Comedy Series,,-,-,12/19/13,Late Fringe,"1,770",0.21%,486,"2,019",0.12%,1.14
192,TBS,Cable,-,Conan,Talk & News Comedy Series,,New,-,12/19/13,Late Fringe,"1,765",0.21%,609,"2,064",0.12%,1.17
193,FOX,Broadcast,-,The Arsenio Hall Show,Talk & News,,New,-,12/19/13,Late Fringe,"1,764",0.21%,897,"2,274",0.13%,1.29
194,AETV,Cable,-,Criminal Minds,Drama Series,Compromising Positions,-,-,12/19/13,Daytime,"1,742",0.20%,586,"1,961",0.11%,1.13
195,BBCA,Cable,-,Doctor Who,Drama Series Sci-Fi Series,New Earth,-,-,12/19/13,Morning,"1,736",0.20%,963,"2,332",0.13%,1.34
196,BET,Cable,-,106 & Park: BET's Top 10 Live,Series,Top 10 Countdown,New,-,12/19/13,Early Fringe,"1,712",0.20%,"1,221","2,269",0.13%,1.33
197,CW,Broadcast,-,The Arsenio Hall Show,Talk & News,,New,-,12/19/13,Late Fringe,"1,698",0.20%,855,"2,147",0.12%,1.26
198,ION,Broadcast,-,Criminal Minds,Drama Series,Closing Time,-,-,12/19/13,Primetime,"1,675",0.20%,512,"1,922",0.11%,1.15
199,SUN,Cable,Sports,NHL Hockey,Sports Events,Nashville Predators at Tampa Bay Lightning,New/Live,-,12/19/13,Early Fringe,"1,660",0.20%,926,"3,245",0.19%,1.95
200,FSTN,Cable,Sports,NHL Hockey,Sports Events,Nashville Predators at Tampa Bay Lightning,New/Live,-,12/19/13,Early Fringe,"1,660",0.20%,926,"3,245",0.19%,1.95
201,HISTORY,Cable,-,Pawn Stars,Drama Series Reality Series,It's a Wonderful Pawn,-,-,12/19/13,Primetime,"1,657",0.19%,549,"2,532",0.15%,1.53
202,FOX,Broadcast,-,TMZ Live,Talk & News,,New,-,12/19/13,Daytime,"1,652",0.19%,918,"2,284",0.13%,1.38
203,HISTORY,Cable,-,Pawn Stars,Drama Series Reality Series,A Very Vegas Christmas,New,-,12/19/13,Primetime,"1,641",0.19%,548,"2,526",0.15%,1.54
204,BET,Cable,-,Love Jones,Movies,,-,-,12/19/13,Primetime,"1,622",0.19%,721,"1,846",0.11%,1.14
205,HISTORY,Cable,-,Pawn Stars,Drama Series Reality Series,Santa Chum,-,-,12/19/13,Primetime,"1,618",0.19%,536,"2,487",0.14%,1.54
206,AETV,Cable,-,Criminal Minds,Drama Series,The Longest Night,-,-,12/19/13,Morning,"1,618",0.19%,580,"1,756",0.10%,1.09
207,STZK,Cable,Premium,The Notebook,Movies,,-,-,12/19/13,Overnight,"1,603",0.19%,575,"1,869",0.11%,1.17
208,BBCA,Cable,-,Doctor Who,Drama Series Sci-Fi Series,Turn Left,-,-,12/19/13,Early Morning,"1,599",0.19%,922,"2,169",0.13%,1.36
209,WE,Cable,-,Braxton Family Values,Reality Series,Braxton Leading Lady,-,-,12/19/13,Daytime,"1,593",0.19%,"1,172","2,393",0.14%,1.50
210,COMEDY,Cable,-,Workaholics,Comedy Series,Man Up,-,-,12/19/13,Late Fringe,"1,591",0.19%,501,"1,728",0.10%,1.09
211,HISTORY,Cable,-,Pawn Stars,Drama Series Reality Series,Free Willie,-,-,12/19/13,Early Fringe,"1,582",0.19%,550,"2,433",0.14%,1.54
212,HISTORY,Cable,-,Pawn Stars,Drama Series Reality Series,Making Cents,-,-,12/19/13,Early Fringe,"1,580",0.19%,562,"2,433",0.14%,1.54
213,FNC,Cable,News,On the Record With Greta Van Susteren,Talk & News,,New,-,12/19/13,Early Fringe,"1,574",0.19%,742,"2,175",0.13%,1.38
214,HISTORY,Cable,-,Pawn Stars,Drama Series Reality Series,The Eagle Has Landed,-,-,12/19/13,Early Fringe,"1,557",0.18%,564,"2,398",0.14%,1.54
215,BEIN2,Cable,Hispanic Sports,Fútbol Español Copa del Rey,Sports Events,Valencia CF vs. Gimnàstic de Tarragona,New/Live,-,12/19/13,Daytime,"1,535",0.18%,"1,309","1,969",0.11%,1.28
216,HISTORY,Cable,-,Pawn Stars,Drama Series Reality Series,Another Christmas Story,New,-,12/19/13,Primetime,"1,520",0.18%,546,"2,395",0.14%,1.58
217,HISTORY,Cable,-,Pawn Stars,Drama Series Reality Series,Hell Week,-,-,12/19/13,Early Fringe,"1,518",0.18%,569,"2,352",0.14%,1.55
218,AETV,Cable,-,Criminal Minds,Drama Series,Our Darkest Hour,-,-,12/19/13,Morning,"1,508",0.18%,577,"1,638",0.09%,1.09
219,CNN,Cable,News,Crossfire,Talk & News,,New,-,12/19/13,Early Fringe,"1,501",0.18%,365,"1,833",0.11%,1.22
220,FNC,Cable,News,The Five,Talk & News,,New,-,12/19/13,Early Fringe,"1,463",0.17%,"1,374","2,787",0.16%,1.90
221,HISTORY,Cable,-,Pawn Stars,Drama Series Reality Series,Silence of the Lambo,-,-,12/19/13,Early Fringe,"1,461",0.17%,577,"2,279",0.13%,1.56
222,LIFE,Cable,-,Project Runway All Stars,Reality Series,As Sewn on TV,-,-,12/19/13,Primetime,"1,432",0.17%,"1,144","2,821",0.16%,1.97
223,HISTORY,Cable,-,Pawn Stars,Drama Series Reality Series,Wheels,-,-,12/19/13,Early Fringe,"1,420",0.17%,580,"2,220",0.13%,1.56
224,CNN,Cable,News,CNN Newsroom,Talk & News,,New,-,12/19/13,Morning,"1,415",0.17%,958,"2,032",0.12%,1.44
225,NBC,Broadcast,-,Today,Talk & News,,-,-,12/19/13,Overnight,"1,401",0.16%,860,"1,902",0.11%,1.36
226,SOAP,Cable,-,General Hospital,Drama Series,,-,-,12/19/13,Early Fringe,"1,399",0.16%,498,"3,128",0.18%,2.24
227,HISTORY,Cable,-,Pawn Stars,Drama Series Reality Series,Security,-,-,12/19/13,Late Fringe,"1,383",0.16%,529,"2,215",0.13%,1.60
228,FXX,Cable,-,Parks and Recreation,Comedy Series,Freddy Spaghetti,-,-,12/19/13,Daytime,"1,379",0.16%,737,"1,529",0.09%,1.11
229,FXX,Cable,-,Parks and Recreation,Comedy Series,Go Big or Go Home,-,-,12/19/13,Daytime,"1,355",0.16%,705,"1,474",0.09%,1.09
230,OWN,Cable,-,Dr. Phil,Talk & News,,-,-,12/19/13,Morning,"1,355",0.16%,793,"1,606",0.09%,1.19
231,MTV2,Cable,-,Martin,Comedy Series,Goin' for Mine,-,-,12/19/13,Late Fringe,"1,346",0.16%,790,"1,434",0.08%,1.07
232,ABC,Broadcast,-,The Dr. Oz Show,Talk & News,Where Are They Now?,New,-,12/19/13,Daytime,"1,343",0.16%,496,"1,417",0.08%,1.06
233,HISTORY,Cable,-,Pawn Stars,Drama Series Reality Series,License to Pawn,-,-,12/19/13,Late Fringe,"1,339",0.16%,531,"2,139",0.12%,1.60
234,MTV2,Cable,-,Martin,Comedy Series,Stake-out,-,-,12/19/13,Late Fringe,"1,339",0.16%,792,"1,426",0.08%,1.06
235,MTV2,Cable,-,Martin,Comedy Series,California Here We Come,-,-,12/19/13,Late Fringe,"1,329",0.16%,791,"1,416",0.08%,1.07
236,HISTORY,Cable,-,Pawn Stars,Drama Series Reality Series,Blaze of Glory,-,-,12/19/13,Daytime,"1,325",0.16%,583,"2,059",0.12%,1.55
237,FXX,Cable,-,Parks and Recreation,Comedy Series,Flu Season,-,-,12/19/13,Daytime,"1,325",0.16%,626,"1,441",0.08%,1.09
238,FXX,Cable,-,Parks and Recreation,Comedy Series,Ron & Tammy: Part Two,-,-,12/19/13,Early Fringe,"1,321",0.16%,627,"1,444",0.08%,1.09
239,MTV2,Cable,-,Martin,Comedy Series,California Here We Come,-,-,12/19/13,Late Fringe,"1,316",0.15%,788,"1,400",0.08%,1.06
240,FXX,Cable,-,Parks and Recreation,Comedy Series,Time Capsule,-,-,12/19/13,Daytime,"1,312",0.15%,632,"1,431",0.08%,1.09
241,MTV2,Cable,-,Martin,Comedy Series,Beauty and the Beast,-,-,12/19/13,Late Fringe,"1,306",0.15%,791,"1,390",0.08%,1.06
242,MTV2,Cable,-,Martin,Comedy Series,Gift Rapper,-,-,12/19/13,Late Fringe,"1,294",0.15%,792,"1,377",0.08%,1.06
243,NBC,Broadcast,-,The Dr. Oz Show,Talk & News,Where Are They Now?,New,-,12/19/13,Daytime,"1,293",0.15%,479,"1,342",0.08%,1.04
244,FOX,Broadcast,-,The Dr. Oz Show,Talk & News,Where Are They Now?,New,-,12/19/13,Daytime,"1,293",0.15%,479,"1,342",0.08%,1.04
245,CBS,Broadcast,-,The Dr. Oz Show,Talk & News,Where Are They Now?,New,-,12/19/13,Early Fringe,"1,290",0.15%,471,"1,351",0.08%,1.05
246,FNC,Cable,News,FOX and Friends,Talk & News,,New,-,12/19/13,Early Morning,"1,278",0.15%,653,"1,815",0.11%,1.42
247,MTV,Cable,-,Catfish,Movies,,-,-,12/19/13,Primetime,"1,270",0.15%,630,"1,378",0.08%,1.09
248,TBS,Cable,-,Ground Floor,Comedy Series,If I Were a Rich Man,New,-,12/19/13,Primetime,"1,264",0.15%,849,"1,802",0.10%,1.43
249,FXX,Cable,-,Parks and Recreation,Comedy Series,Media Blitz,-,-,12/19/13,Early Fringe,"1,251",0.15%,598,"1,363",0.08%,1.09
250,MYNETTV,Broadcast,-,TMZ,Talk & News,,New,-,12/19/13,Late Fringe,"1,251",0.15%,804,"1,482",0.09%,1.18
