Rank,Network,Network Type,Network Category,Program,Program/Genre Type,Episode Title,New/Live,Premiere/Finale,Date,Day Part,Unique Authors,Unique Authors Share,Followers/Unique Authors,Tweets,Tweets Share,Tweets/Unique Authors,
178,TVLAND,Cable,-,Everybody Loves Raymond,Comedy Series,The Wedding,-,-,12/19/13,Primetime,148,0.02%,985,153,0.01%,1.03,
179,TOON,Cable,-,Uncle Grandpa,"Comedy Series, Children & Family",Treasure Map,-,-,12/19/13,Primetime,148,0.02%,689,160,0.01%,1.08,
180,LMN,Cable,-,Deck the Halls,Movies,,-,-,12/19/13,Primetime,147,0.02%,738,156,0.01%,1.06,
181,TOON,Cable,-,Uncle Grandpa,"Comedy Series, Children & Family",Space Emperor,-,-,12/19/13,Primetime,147,0.02%,688,159,0.01%,1.08,
182,TVLAND,Cable,-,Everybody Loves Raymond,Comedy Series,The Invasion,-,-,12/19/13,Primetime,147,0.02%,906,152,0.01%,1.03,
183,TVLAND,Cable,-,Everybody Loves Raymond,Comedy Series,The Wedding,-,-,12/19/13,Primetime,146,0.02%,970,151,0.01%,1.03,
184,GSN,Cable,-,Family Feud,Series,,-,-,12/19/13,Primetime,145,0.02%,"1,085",149,0.01%,1.03,
185,APL,Cable,-,North Woods Law,"Reality Series, Docs & Special Interests",Mud Season,-,-,12/19/13,Primetime,144,0.02%,726,194,0.01%,1.35,
186,TVLAND,Cable,-,Everybody Loves Raymond,Comedy Series,The Garage Sale,-,-,12/19/13,Primetime,142,0.02%,"1,041",148,0.01%,1.04,
187,ESPND,Cable,Hispanic Sports,Fuera de Juego,Sports non-event,,New,-,12/19/13,Primetime,142,0.02%,233,166,0.01%,1.17,
188,KDOC,Broadcast,-,Everybody Loves Raymond,Comedy Series,Robert's Wedding,-,-,12/19/13,Primetime,135,0.02%,948,140,0.01%,1.04,
189,KDOC,Broadcast,-,Everybody Loves Raymond,Comedy Series,Home From School,-,-,12/19/13,Primetime,129,0.02%,933,134,0.01%,1.04,
190,TLC,Cable,-,A Very Merry Gypsy Christmas,Docs & Special Interests,,New,-,12/19/13,Primetime,119,0.01%,536,136,0.01%,1.14,
191,UNI,Broadcast,Hispanic,Por Siempre Mi Amor,Drama Series,,New,-,12/19/13,Primetime,115,0.01%,603,144,0.01%,1.25,
192,TCM,Cable,-,Scrooge,Movies,,-,-,12/19/13,Primetime,114,0.01%,953,125,0.01%,1.10,
193,BBCA,Cable,-,Kitchen Nightmares,"Reality Series, Docs & Special Interests",Ms. Jean's Southern Cuisine,-,-,12/19/13,Primetime,114,0.01%,524,122,0.01%,1.07,
194,FBN,Cable,News,Stossel,Series,,New,-,12/19/13,Primetime,114,0.01%,"1,388",137,0.01%,1.20,
195,BBCA,Cable,-,Kitchen Nightmares,"Reality Series, Docs & Special Interests",Barefoot Bob's,-,-,12/19/13,Primetime,111,0.01%,530,119,0.01%,1.07,
196,BBCA,Cable,-,Kitchen Nightmares,"Reality Series, Docs & Special Interests",Kingston Café,-,-,12/19/13,Primetime,105,0.01%,516,112,0.01%,1.07,
197,CMTV,Cable,-,Cops Reloaded,"Reality Series, Docs & Special Interests",,-,-,12/19/13,Primetime,103,0.01%,589,110,0.01%,1.07,
198,ESPNU,Cable,Sports,Roll Tide/War Eagle,Movies,,-,-,12/19/13,Primetime,102,0.01%,516,107,0.01%,1.05,
199,HBO,Cable,Premium,The Descendants,Movies,,-,-,12/19/13,Primetime,102,0.01%,796,105,0.01%,1.03,
200,ENCORE,Cable,Premium,Snatch,Movies,,-,-,12/19/13,Primetime,99,0.01%,545,107,0.01%,1.08,
201,DIY,Cable,-,Rehab Addict,Docs & Special Interests,Cracked Pipe Kitchen,New,-,12/19/13,Primetime,97,0.01%,934,103,0.01%,1.06,
202,CTRC,Cable,-,Moesha,Comedy Series,Unappreciated Interest,-,-,12/19/13,Primetime,95,0.01%,772,106,0.01%,1.12,
203,NICJR,Cable,-,Bubble Guppies,"Docs & Special Interests, Children & Family",Super Shrimptennial Celebration!,-,-,12/19/13,Primetime,95,0.01%,561,101,0.01%,1.06,
204,NICJR,Cable,-,Bubble Guppies,"Docs & Special Interests, Children & Family",Construction Psyched!,-,-,12/19/13,Primetime,94,0.01%,565,100,0.01%,1.06,
205,ADSM,Cable,-,Adventure Time,"Drama Series, Sci-Fi Series, Children & Family",Video Makers; Heat Signature,-,-,12/19/13,Primetime,85,0.01%,817,88,0.01%,1.04,
206,TMCX,Cable,-,Jarhead,Movies,,-,-,12/19/13,Primetime,82,0.01%,597,85,0.00%,1.04,
207,MILI,Cable,-,Myth Hunters,Docs & Special Interests,Hitler and the Spear of Destiny,New,-,12/19/13,Primetime,82,0.01%,104,103,0.01%,1.26,
208,TOON,Cable,-,Steven Universe,"Sci-Fi Series, Children & Family",Laser Light Cannon,-,-,12/19/13,Primetime,79,0.01%,733,83,0.00%,1.05,
209,TOON,Cable,-,Steven Universe,"Sci-Fi Series, Children & Family",Gem Glow,-,-,12/19/13,Primetime,79,0.01%,733,83,0.00%,1.05,
210,BLOOM,Cable,News,Charlie Rose,Talk & News,,New,-,12/19/13,Primetime,79,0.01%,"1,206",101,0.01%,1.28,
211,CNNI,Cable,News,CNN Special Report: Extraordinary People,Special Programs,,-,-,12/19/13,Primetime,78,0.01%,947,87,0.01%,1.12,
212,NGC,Cable,-,Big Bad Wood,Docs & Special Interests,Graveyard Shift,New,-,12/19/13,Primetime,77,0.01%,634,83,0.00%,1.08,
213,NBC,Broadcast,-,Saturday Night Live,Comedy Series,SNL Christmas,-,-,12/19/13,Primetime,77,0.01%,386,80,0.00%,1.04,
214,CNNE,Cable,Hispanic News,Deportes CNN,Sports non-event,,-,-,12/19/13,Primetime,76,0.01%,"1,181",86,0.00%,1.13,
215,IFC,Cable,-,Underworld,Movies,,-,-,12/19/13,Primetime,75,0.01%,757,77,0.00%,1.03,
216,VH1CL,Cable,-,Saturday Night Live,Comedy Series,,-,-,12/19/13,Primetime,73,0.01%,397,76,0.00%,1.04,
217,CNNE,Cable,Hispanic News,Conclusiones,Talk & News,,-,-,12/19/13,Primetime,60,0.01%,476,61,0.00%,1.02,
218,TRAV,Cable,-,Mysteries at the Museum,Docs & Special Interests,Unbelievable,New,-,12/19/13,Primetime,59,0.01%,565,109,0.01%,1.85,
219,CTRC,Cable,-,The Parkers,"Drama Series, Comedy Series",Kim's 21st Birthday,-,-,12/19/13,Primetime,59,0.01%,876,62,0.00%,1.05,
220,CTRC,Cable,-,The Parkers,"Drama Series, Comedy Series",It's Gary Coleman,-,-,12/19/13,Primetime,59,0.01%,875,62,0.00%,1.05,
221,ENCESP,Cable,Hispanic Premium,Snatch,Movies,,-,-,12/19/13,Primetime,59,0.01%,437,66,0.00%,1.12,
222,HUB,Cable,-,Snow Buddies,Movies,,-,-,12/19/13,Primetime,56,0.01%,611,56,0.00%,1.00,
223,HGTV,Cable,-,Rehab Addict,Docs & Special Interests,Shoebox Bathroom,-,-,12/19/13,Primetime,56,0.01%,"1,174",58,0.00%,1.04,
224,HGTV,Cable,-,Rehab Addict,Docs & Special Interests,Faulty Foundation,-,-,12/19/13,Primetime,56,0.01%,"1,174",58,0.00%,1.04,
225,HGTV,Cable,-,White House Christmas 2013,Special Programs,,-,-,12/19/13,Primetime,54,0.01%,775,54,0.00%,1.00,
226,TVONE,Cable,-,Fatal Attraction,"Reality Series, Docs & Special Interests",Collegiate Killing,-,-,12/19/13,Primetime,54,0.01%,850,56,0.00%,1.04,
227,ENCSUS,Cable,Premium,Venom,Movies,,-,-,12/19/13,Primetime,54,0.01%,286,57,0.00%,1.06,
228,DISN,Cable,-,Mickey Mouse,"Comedy Series, Children & Family",Tokyo Go,-,-,12/19/13,Primetime,54,0.01%,365,54,0.00%,1.00,
229,AJAM,Cable,-,America Tonight,Talk & News,,New,-,12/19/13,Primetime,54,0.01%,962,75,0.00%,1.39,
230,DISN,Cable,-,Jessie,"Comedy Series, Children & Family",We Are So Grounded,-,-,12/19/13,Primetime,53,0.01%,568,56,0.00%,1.06,
231,DIY,Cable,-,Rehab Addict,Docs & Special Interests,Fire Damage Fixes,-,-,12/19/13,Primetime,52,0.01%,"1,062",54,0.00%,1.04,
232,DXD,Cable,-,Gravity Falls,"Comedy Series, Children & Family",Bottomless Pit!,-,-,12/19/13,Primetime,51,0.01%,327,61,0.00%,1.20,
233,ESQTV,Cable,-,Die Another Day,Movies,,-,-,12/19/13,Primetime,51,0.01%,697,61,0.00%,1.20,
234,FBN,Cable,News,Cavuto,Talk & News,,New,-,12/19/13,Primetime,50,0.01%,"1,536",62,0.00%,1.24,
235,HALL,Cable,-,Finding Christmas,Movies,,-,-,12/19/13,Primetime,50,0.01%,"1,217",72,0.00%,1.44,
236,STZC,Cable,Premium,Boomerang,Movies,,-,-,12/19/13,Primetime,50,0.01%,860,55,0.00%,1.10,
237,DFH,Cable,-,Hoarding: Buried Alive,"Reality Series, Docs & Special Interests",There are Mice Everywhere,-,-,12/19/13,Primetime,50,0.01%,908,67,0.00%,1.34,
238,DFH,Cable,-,Hoarding: Buried Alive,"Reality Series, Docs & Special Interests",You're Not Taking My Kids,-,-,12/19/13,Primetime,49,0.01%,919,66,0.00%,1.35,
239,DFH,Cable,-,Hoarding: Buried Alive,"Reality Series, Docs & Special Interests","Waste Not, Want Not",-,-,12/19/13,Primetime,48,0.01%,924,65,0.00%,1.35,
240,SCIENCE,Cable,-,How It's Made,Docs & Special Interests,Sidecars; Frozen French Toast; Refrigerator Compressors; Superchargers,New,-,12/19/13,Primetime,48,0.01%,314,51,0.00%,1.06,
241,COOK,Cable,-,Nadia G's Bitchin' Kitchen,"Comedy Series, Docs & Special Interests",Feast of the Seven Dishes,-,-,12/19/13,Primetime,48,0.01%,372,52,0.00%,1.08,
242,TRUTV,Cable,-,Guinness World Records Unleashed,Reality Series,One Giant Leap,New,-,12/19/13,Primetime,47,0.01%,421,52,0.00%,1.11,
243,HGTV,Cable,-,House Hunters: Where Are They Now?,Docs & Special Interests,,New,-,12/19/13,Primetime,46,0.01%,"1,455",53,0.00%,1.15,
244,ESPND,Cable,Hispanic Sports,Redes,Talk & News,,New/Live,-,12/19/13,Primetime,46,0.01%,166,68,0.00%,1.48,
245,SCIENCE,Cable,-,How It's Made,Docs & Special Interests,Body Casting; Downdraft Stoves; Compression Garments; Electric Motorcycles,-,-,12/19/13,Primetime,45,0.01%,381,48,0.00%,1.07,
246,TVLAND,Cable,-,The Andy Griffith Show,Comedy Series,Opie's Ill-Gotten Gain,-,-,12/19/13,Primetime,44,0.01%,669,44,0.00%,1.00,
247,UNIMAS,Broadcast,Hispanic,Home Alone,Movies,,-,-,12/19/13,Primetime,44,0.01%,"1,010",46,0.00%,1.05,
248,CTRC,Cable,-,Moesha,Comedy Series,Isn't She Lovely?,-,-,12/19/13,Primetime,43,0.01%,717,45,0.00%,1.05,
249,NUVOTV,Cable,-,LA Ink,"Reality Series, Docs & Special Interests",Corey's Dilemma,-,-,12/19/13,Primetime,40,0.00%,423,41,0.00%,1.03,
250,HGTV,Cable,-,House Hunters International,"Reality Series, Docs & Special Interests",,-,-,12/19/13,Primetime,39,0.00%,"1,105",43,0.00%,1.10,
